
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
1C:E6:C7:E0:86:B0, 2019-04-24 14:32:31, 2019-04-24 14:32:50,  6,  54, OPN, ,   , -42,      173,     2198, 172. 31.239. 13,  12, Orange - USM, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
6C:C4:D5:5A:38:12, 2019-04-24 14:32:47, 2019-04-24 14:32:47, -71,        1, 1C:E6:C7:E0:86:B0,
94:87:E0:4C:3C:38, 2019-04-24 14:32:31, 2019-04-24 14:32:46, -59,      755, 1C:E6:C7:E0:86:B0,
AC:B5:7D:D5:43:DD, 2019-04-24 14:32:31, 2019-04-24 14:32:50, -43,     1342, 1C:E6:C7:E0:86:B0,
58:E2:8F:72:4D:49, 2019-04-24 14:32:33, 2019-04-24 14:32:40,  -1,       63, 1C:E6:C7:E0:86:B0,
C0:CE:CD:1B:85:C4, 2019-04-24 14:32:33, 2019-04-24 14:32:41,  -1,       13, 1C:E6:C7:E0:86:B0,
64:70:33:A5:63:9A, 2019-04-24 14:32:41, 2019-04-24 14:32:41,  -1,       15, 1C:E6:C7:E0:86:B0,
9C:2E:A1:DB:7B:5F, 2019-04-24 14:32:49, 2019-04-24 14:32:49,  -1,        9, 1C:E6:C7:E0:86:B0,
DC:72:9B:2E:0A:5D, 2019-04-24 14:32:49, 2019-04-24 14:32:49,  -1,        3, 1C:E6:C7:E0:86:B0,
74:EB:80:57:FD:D2, 2019-04-24 14:32:50, 2019-04-24 14:32:50, -72,        1, 1C:E6:C7:E0:86:B0,

