
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
1C:E6:C7:E0:86:B0, 2019-04-26 09:36:53, 2019-04-26 09:37:42,  6,  54, OPN, ,   , -40,      436,    19422, 172. 31.200.136,  12, Orange - USM, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
20:47:DA:08:64:71, 2019-04-26 09:36:53, 2019-04-26 09:37:36, -91,      301, 1C:E6:C7:E0:86:B0,
BC:9F:EF:C3:6B:A1, 2019-04-26 09:36:54, 2019-04-26 09:36:55, -88,       22, 1C:E6:C7:E0:86:B0,
7C:46:85:AB:77:DB, 2019-04-26 09:36:53, 2019-04-26 09:37:33, -86,     1171, 1C:E6:C7:E0:86:B0,
6C:C4:D5:5A:38:12, 2019-04-26 09:37:14, 2019-04-26 09:37:42, -86,     1386, 1C:E6:C7:E0:86:B0,
04:B1:67:65:92:86, 2019-04-26 09:37:20, 2019-04-26 09:37:40, -84,      498, 1C:E6:C7:E0:86:B0,Orange - USM
DC:66:72:B9:87:FD, 2019-04-26 09:36:55, 2019-04-26 09:37:26, -82,       18, 1C:E6:C7:E0:86:B0,
DC:72:9B:2E:0A:5D, 2019-04-26 09:36:57, 2019-04-26 09:37:29, -82,       47, 1C:E6:C7:E0:86:B0,
78:00:9E:4D:8B:22, 2019-04-26 09:36:57, 2019-04-26 09:37:38, -80,       49, 1C:E6:C7:E0:86:B0,
AC:EE:9E:16:3B:2B, 2019-04-26 09:36:54, 2019-04-26 09:37:42, -76,     4769, 1C:E6:C7:E0:86:B0,
24:18:1D:F5:EE:50, 2019-04-26 09:36:59, 2019-04-26 09:37:41, -72,      787, 1C:E6:C7:E0:86:B0,
E0:33:8E:42:3F:E3, 2019-04-26 09:36:53, 2019-04-26 09:37:42, -63,     3484, 1C:E6:C7:E0:86:B0,
24:2E:02:AE:B0:DB, 2019-04-26 09:36:56, 2019-04-26 09:37:37, -66,     2509, 1C:E6:C7:E0:86:B0,
58:C5:CB:69:68:77, 2019-04-26 09:36:53, 2019-04-26 09:37:42, -65,     4278, 1C:E6:C7:E0:86:B0,
54:4E:90:82:89:C3, 2019-04-26 09:36:54, 2019-04-26 09:37:29, -64,      204, 1C:E6:C7:E0:86:B0,
40:83:1D:30:3F:25, 2019-04-26 09:36:53, 2019-04-26 09:37:39, -59,      905, 1C:E6:C7:E0:86:B0,
90:06:28:F3:DF:4D, 2019-04-26 09:36:53, 2019-04-26 09:37:33, -56,       16, 1C:E6:C7:E0:86:B0,
78:02:F8:3C:3F:A3, 2019-04-26 09:36:57, 2019-04-26 09:37:39, -51,      142, 1C:E6:C7:E0:86:B0,
20:2D:07:23:D0:F7, 2019-04-26 09:36:53, 2019-04-26 09:37:42, -50,      224, 1C:E6:C7:E0:86:B0,
A0:99:9B:77:29:B3, 2019-04-26 09:36:53, 2019-04-26 09:37:42,   0,    11188, 1C:E6:C7:E0:86:B0,

